Date (j/m/a hh:mm);Simulated gamma dose rate (nSv/h);Observed gamma dose rate (nSv/h);Precipitations (mm/h - acc. prev.);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m);
26/07/2023 23:00;0.539244690251189;nan;0.10220297120408528;99127.3159562212;312.8429613948418;25.47362280554623;22.954786360420474;22.853780776957556;937.6370239257812;4717.1279296875;
27/07/2023 00:00;0.5729077516739527;nan;0.08288871381895334;99077.98565308179;312.47747268325173;25.49100572622729;23.11715597251708;23.098527723262386;912.7482299804688;4418.42333984375;
27/07/2023 01:00;0.5923568522117706;nan;0.12884012189015642;99033.24944196429;311.9934281028361;25.36758191523052;23.262919594752624;23.46219200802289;956.470458984375;4610.4169921875;
27/07/2023 02:00;0.6857177286273649;nan;0.1696132513979334;98991.58566748272;311.77120598999585;25.221310262787178;23.319349728837988;23.5763377459282;907.4775390625;4532.552734375;
27/07/2023 03:00;0.7603563303825304;nan;0.12627638945965447;98958.32952908987;311.5950391918833;25.336345446102904;23.377205826054556;23.72194226656092;931.7224731445312;4473.58203125;
27/07/2023 04:00;0.732916730023118;nan;0.1616770528548736;98940.22465437787;311.4518042357836;25.710809408657013;23.47825319235415;23.73722329245256;829.2688598632812;4570.70947265625;
27/07/2023 05:00;0.7275770009465276;nan;0.15287139886144704;98935.82067252304;311.32962387717816;25.9830869877462;23.62603331787642;23.701981144609608;724.6696166992188;4408.9404296875;
27/07/2023 06:00;0.7088465328705991;nan;0.11885574921992767;98934.39354118664;311.41968764907205;27.492812131647415;23.757058188173286;23.75002618603331;650.777587890625;4327.02392578125;
27/07/2023 07:00;0.6763724514748901;nan;0.09221138778112588;98948.65621399769;311.7476661787604;32.29073973896179;23.86844098068396;23.455839024161413;629.4449462890625;4444.3369140625;
27/07/2023 08:00;0.5654244925719493;nan;0.1604039899077833;98935.86738551267;312.72884646648635;37.76908780366594;23.936961488386245;23.509608739532084;581.0198974609375;4343.65625;
27/07/2023 09:00;0.4830405039332962;nan;0.21367579740219994;98913.44812067972;313.69506730462;47.910607186605304;24.056689993637153;23.69088400948432;603.2042236328125;4495.4560546875;
27/07/2023 10:00;0.44396720904844045;nan;0.14855029914433712;98898.82997911866;314.642583398775;57.10751745942551;24.210523366583953;23.86473039053552;607.2321166992188;4564.53369140625;
27/07/2023 11:00;0.382732452392312;nan;0.20609120152673946;98878.93768001153;315.5653088125765;64.49515221882525;24.3249902869682;24.036418949953422;608.5408935546875;4370.61083984375;
27/07/2023 12:00;0.3498160472453018;nan;0.20522667979775458;98850.64354118664;316.42887308850266;69.97693701713315;24.379169780263155;24.25831428115269;623.7890014648438;4176.978515625;
27/07/2023 13:00;0.3220986465919196;nan;0.21007530847864767;98797.46840797811;317.23287457584786;75.09779811235067;24.304177524607784;24.50286900506179;722.60546875;4415.5009765625;
27/07/2023 14:00;0.3029722346846993;nan;0.10772364045180002;98753.7621687788;317.7533693797028;73.92380889453646;24.072924990035286;24.73690072951778;769.3552856445312;4273.87109375;
27/07/2023 15:00;0.31273894345877085;nan;0.21270586595648452;98720.38135440668;318.0725845829133;71.68433871027511;23.883960891017168;24.894150284578174;797.0264892578125;4436.8916015625;
27/07/2023 16:00;0.31561263315465454;nan;0.19995929880823066;98694.33339933756;318.0904591643865;66.24810664149749;23.63773575559401;24.838669555527822;871.1597290039062;4343.48291015625;
27/07/2023 17:00;0.2943464745831792;nan;0.23842995780335594;98686.24114343317;317.93174771779144;58.7536760967242;23.51062189288167;24.71079519433978;935.9281616210938;4409.25732421875;
27/07/2023 18:00;0.3273363517498606;nan;0.26137164731248186;98694.20215293778;317.5081613426384;47.94611909738334;23.33877276050888;24.61253748155169;912.3888549804688;4427.3359375;
27/07/2023 19:00;0.3853343549626558;nan;0.10122135715464706;98721.23878528226;316.67760238999045;34.62872670123929;23.128304615758427;24.435064618879164;809.8128051757812;4386.62255859375;
27/07/2023 20:00;0.4317144201896776;nan;0.18608505456292065;98757.6176015265;315.99823532456077;26.47662558918175;23.037686168714018;24.029430715070525;907.70458984375;3963.486083984375;
27/07/2023 21:00;0.48391991312302274;nan;0.15843684167972946;98776.48757920507;315.3882829516714;26.475818064149625;23.036487025981298;23.787869562572492;896.9966430664062;4050.5634765625;
27/07/2023 22:00;0.5961957864510539;nan;0.25407021617182113;98802.02003528226;314.8151586857809;25.700175142404944;23.07391167904169;23.816835689244144;804.0177001953125;3974.37158203125;
27/07/2023 23:00;0.6092206958567612;nan;0.06305071445555353;98822.29095262097;314.3421759539485;25.401495237916297;23.094223213424982;23.7703472668091;833.1947021484375;3584.172607421875;
28/07/2023 00:00;0.5459885765382084;nan;0.10649250394317068;98822.37588205645;313.98716855378746;25.03540032545817;23.160294316550246;23.588336027094297;895.3489379882812;3690.509765625;
28/07/2023 01:00;0.5838233589667887;nan;0.5467005442186315;98811.1271781394;313.27961266864827;25.889281835252515;23.489376141187577;23.391880650256095;796.3741455078125;3899.061279296875;
28/07/2023 02:00;0.8258001058172512;nan;0.39782961608932144;98796.5456329205;313.05169227705574;25.848761172338566;23.577545740152388;23.275520491342956;853.95703125;3817.4755859375;
28/07/2023 03:00;0.9381511274570694;nan;0.16196917999303573;98783.4943656394;312.89023853776644;25.500573531857558;23.55597863052135;23.23091917624268;891.814208984375;3637.825439453125;
28/07/2023 04:00;0.7980832849470426;nan;0.4289725946073639;98785.76627304147;312.7528603549377;25.20309916231352;23.588156984397962;23.200921090337456;742.3367919921875;3665.70849609375;
28/07/2023 05:00;0.8273000447186835;nan;0.5156201022774158;98802.1944484447;312.695304413545;24.864208703491546;23.544280715801747;23.1319068088046;737.5467529296875;3888.85302734375;
28/07/2023 06:00;0.8435842206053573;nan;0.35621688238984567;98818.57265264977;312.76753860684585;25.662190895956783;23.50341220069591;23.149126296330774;757.41650390625;3818.638916015625;
28/07/2023 07:00;0.69255562452814;nan;0.36589677140764754;98863.08123919931;313.0238866849978;29.36692593054425;23.491622233357763;22.905801349292695;804.8064575195312;3721.1943359375;
28/07/2023 08:00;0.6207640932138992;nan;0.38873787427214856;98876.25171010944;313.5628966581986;35.36569782277818;23.636750228391328;22.950866074749797;808.6353759765625;3688.558837890625;
28/07/2023 09:00;0.559781434141048;nan;0.2581244382575693;98875.94605054724;314.2434464555732;44.671047534158426;23.66196734904127;23.09525879173784;817.9871215820312;3888.45703125;
28/07/2023 10:00;0.5252415128513604;nan;0.468655438307235;98883.10383064517;314.9871753745365;51.995902652530354;23.685841186804705;23.28123097485661;688.8330688476562;3697.713134765625;
28/07/2023 11:00;0.525807181475169;nan;0.493559831085496;98885.83105918778;315.66346874324955;58.566507752383906;23.72107441643519;23.493535692249917;692.225830078125;3957.930419921875;
28/07/2023 12:00;0.5107126336229304;nan;0.31312036962239803;98884.47296226959;316.2573956608223;62.58295494747189;23.7524539620534;23.633105655217946;757.6409301757812;4294.5302734375;
28/07/2023 13:00;0.5462326534985122;nan;0.31351324265676844;98840.6596702189;317.2328163533716;68.58003769739432;23.690245207270376;23.956999005260556;821.6986694335938;4575.74609375;
28/07/2023 14:00;0.5969347964364967;nan;0.4476473848017583;98824.89469326037;317.5707702636719;65.34199648491249;23.603962566609137;24.111878214893252;849.8186645507812;4332.5703125;
28/07/2023 15:00;0.61635543329079;nan;0.7698064182245512;98805.89364919355;317.7795673141831;64.29553186399046;23.4431209615024;24.224309143382833;928.2521362304688;4433.1865234375;
28/07/2023 16:00;0.5939093606110902;nan;0.2909500207564223;98793.76760512673;317.7485134282969;57.424655451134605;23.31217911693349;24.157770350266436;861.0958251953125;4165.1005859375;
28/07/2023 17:00;0.5827929637435618;nan;0.6125428399971304;98796.18292770737;317.70630058605;51.03518048773438;23.21590305803009;24.017839248001646;847.6663208007812;4158.90869140625;
28/07/2023 18:00;0.6151824573125725;nan;0.07040951005719637;98801.4953377016;317.39489092145647;39.935434912687626;23.2435243423094;23.922400826383473;885.1747436523438;4251.31982421875;
28/07/2023 19:00;0.4751571149775578;nan;0.06000279740769467;98835.22022609448;316.81069728306363;28.944394777035384;23.358076368059432;23.675368712262213;882.5115966796875;4295.1064453125;
28/07/2023 20:00;0.38732835105169683;nan;0.05921044832842279;98875.66328845047;316.1049424975698;24.505760596095143;23.399966147638136;23.325263062380426;882.990478515625;3821.887939453125;
28/07/2023 21:00;0.3776561227929671;nan;0.031523113903720444;98897.16008424539;315.55135911510837;24.02846593320507;23.44320461799472;23.084994513161636;959.2567138671875;3675.879150390625;
28/07/2023 22:00;0.4015961748640126;nan;0.025418376677223235;98907.3936671947;315.15872333016813;23.982773362148194;23.381465402066983;23.00001774396689;927.5715942382812;3598.155029296875;
28/07/2023 23:00;0.44870855947226834;nan;0.026669543184455878;98914.12485599078;314.79888522240424;23.85848366270005;23.30155904402995;22.905534541100792;907.215087890625;3510.809326171875;
29/07/2023 00:00;0.5111055098074887;nan;0.03333600799119624;98903.01522897465;314.4771536550214;23.832490202399992;23.244135405691253;23.06188948036167;848.40087890625;3507.250244140625;
29/07/2023 01:00;0.5210911493205512;nan;0.01928136136365651;98874.4011016705;313.95492188062536;23.52507067252002;23.1684144743362;23.10115727349206;888.1790771484375;3264.492919921875;
29/07/2023 02:00;0.5384552594014628;nan;0.03611117253865412;98863.06494815668;313.73514658844414;23.84698538925104;23.1946921938607;23.2189108629594;851.739501953125;3454.077392578125;
29/07/2023 03:00;0.5619487401102304;nan;0.05091678164470168;98853.14858150922;313.52896898682764;23.914648493073777;23.156323371386403;23.266262844668418;849.9892578125;3613.09228515625;
29/07/2023 04:00;0.5709400244007823;nan;0.11012309538479466;98855.88065236175;313.31376605759016;23.765716020138033;23.1647176652136;23.160315439402243;786.2442626953125;3731.0283203125;
29/07/2023 05:00;0.6175627472128049;nan;0.13492885069741356;98875.11077908987;313.1228709418653;23.951228485129395;23.051467895224555;23.06947832099875;876.261474609375;3616.119140625;
29/07/2023 06:00;0.7284178138278159;nan;0.1328160800715728;98889.27109735023;313.1279071157429;24.219067239369938;23.12619371019832;23.01703946859127;840.3741455078125;3611.02783203125;
29/07/2023 07:00;0.8214831951241682;nan;0.22664743601433043;98896.79962917627;313.52766432520434;29.55122541570993;23.208766562064298;23.05265514416972;1072.053955078125;3892.42333984375;
29/07/2023 08:00;0.8582170457549153;nan;0.18756501523194158;98904.45377304147;314.30506580546154;38.45078962636159;23.24249618746821;23.153032778628027;1018.9647216796875;3994.232666015625;
29/07/2023 09:00;0.8874494279906463;nan;0.13719957751045975;98900.89071500576;315.07929500456777;48.26027269139543;23.278666661015;23.329366804867735;951.4943237304688;4042.133056640625;
29/07/2023 10:00;1.038558987883984;nan;0.14500278124893148;98900.92243303571;315.7754610826343;57.0248469358765;23.290411464157536;23.632877647035546;913.4351806640625;4153.45166015625;
29/07/2023 11:00;1.1056767226763344;nan;0.13008559359113359;98901.58887168778;316.4190115511143;65.17188938161195;23.166478620241246;23.93492216002282;936.5922241210938;3892.78369140625;
29/07/2023 12:00;1.0138224011672283;nan;0.2199974479467591;98897.54574092742;316.9808657597836;70.75277338654215;23.00809918064946;24.3389663141959;920.9747924804688;4013.226318359375;
29/07/2023 13:00;0.8870772997218866;nan;0.19988322539860168;98886.23761520737;317.530511741814;73.54406146221035;22.96270117750992;24.359496141406215;958.7492065429688;4030.140380859375;
29/07/2023 14:00;0.7857485788102876;nan;0.07132714529197061;98871.67583525345;317.7332062611382;71.92970484247955;22.8045415126607;24.546302623525886;1024.799560546875;3847.099365234375;
29/07/2023 15:00;0.7850707089072436;nan;0.22045320522014378;98864.7096954205;317.80447732248615;71.87946342542973;22.571710267125667;24.792229353822286;1012.5445556640625;4073.958251953125;
29/07/2023 16:00;0.8935769423906808;nan;0.3249594447216929;98871.14654737903;317.481698102116;63.29423506221464;22.258417016015418;24.94348531446424;1023.99609375;4122.7138671875;
29/07/2023 17:00;0.95587087242407;nan;0.47877325363240464;98886.31442612327;316.9376400011476;51.019603520803464;21.943434730292328;24.96168097980698;1048.8570556640625;4293.51220703125;
29/07/2023 18:00;1.248546738729572;nan;0.3864773684873327;98926.63581869239;316.2063232281241;40.575672127924484;21.829950218376474;24.746114789272234;1013.2605590820312;4343.919921875;
29/07/2023 19:00;1.457840533620487;nan;0.31374443716891026;98975.82272465438;315.51278960759737;31.48090100511565;21.72384462890125;24.188852882296924;1063.76318359375;4335.546875;
29/07/2023 20:00;1.3377088792978846;nan;0.49124327422511843;99045.01596702189;314.78372790077316;25.73259809705931;21.91774797508244;23.93410647722135;1113.5126953125;4009.257568359375;
29/07/2023 21:00;0.9409504524388668;nan;0.10640431980040216;99094.49067540323;314.209706460276;25.119928932753027;22.05717685365457;23.975660202355222;1123.3468017578125;3814.200439453125;
29/07/2023 22:00;0.7250961886551489;nan;0.10446637523605183;99130.69119023618;313.75608242052493;25.090161266620807;22.170251338798465;24.029208672104172;1068.278564453125;3630.513916015625;
29/07/2023 23:00;0.5860143619705387;nan;0.04197526447971063;99173.81651425692;313.40238129927815;25.11164965817044;22.06642085773879;24.221120825522334;1018.8353881835938;3419.68701171875;
30/07/2023 00:00;0.531719388336309;nan;0.01390610749462849;99191.72582445276;313.07934612502703;24.87538896713938;21.90731837296717;24.347143578180006;971.5181884765625;3204.52587890625;
30/07/2023 01:00;0.44400200951621277;nan;0.003774199200781225;99190.99470766129;312.39615458826864;24.404405983224994;21.634361912730427;24.424278969780975;943.559326171875;3437.0185546875;
30/07/2023 02:00;0.39877048076622934;nan;0.01317957134634119;99202.49949596774;312.1502205984933;24.636392098452365;21.644915352828697;24.509784191097122;939.5213623046875;3299.299560546875;
30/07/2023 03:00;0.3858463507241404;nan;0.016259097849332174;99224.75835253457;311.92868984239993;24.826301036720178;21.63982347013431;24.458812941912957;915.1011962890625;3338.892333984375;
30/07/2023 04:00;0.3989405240327086;nan;0.08480568557751283;99254.1050547235;311.71052670808433;24.903646436773137;21.69619605913683;24.447457355284026;808.38818359375;3364.212890625;
30/07/2023 05:00;0.4054389932983628;nan;0.002916192673715389;99297.63997695853;311.5297362859348;25.293736612844853;21.90585208585065;24.254880071381614;805.4727172851562;3262.88720703125;
30/07/2023 06:00;0.3811099989848557;nan;0.00834252858697544;99338.00613839286;311.56668597102714;26.706781331226573;21.998701262583932;24.33035356620936;795.9541625976562;3052.41943359375;
30/07/2023 07:00;0.355822259878626;nan;0.008498884487829025;99394.43958813364;311.87391156315255;37.10037701267938;21.8594944849267;24.37034635876696;710.34765625;3398.420166015625;
30/07/2023 08:00;0.3211585440583611;nan;0.02073799124339484;99418.14642137097;312.6557425222089;54.148169725206316;21.666007714337066;24.61930939834565;720.4671630859375;3302.28369140625;
30/07/2023 09:00;0.29141756037785566;nan;0.01100398180362541;99436.81743231567;313.4759429369105;67.87832776522306;21.62091930231191;24.817301543805026;695.5694580078125;3319.763916015625;
30/07/2023 10:00;0.2672147488458649;nan;0.009297022132486243;99460.53701036866;314.2810548000072;77.27639051118204;21.686257711341305;25.052550664838954;822.85302734375;3169.151123046875;
30/07/2023 11:00;0.23836528363450932;nan;0.008379865255344161;99465.26494095621;315.0556346699939;85.60690030551726;21.618973539446905;25.197342604882092;855.5416259765625;3266.516357421875;
30/07/2023 12:00;0.20583597415240593;nan;0.0028506157370412955;99459.64982358871;315.7471253707112;89.49475692219448;21.48338573916991;25.311208905270732;897.0385131835938;3231.918212890625;
30/07/2023 13:00;0.1667893281038035;nan;0.0016107203531151955;99430.75684043778;316.3220412434521;92.56737855832148;21.435784616777973;25.24032168758149;856.583251953125;3659.712646484375;
30/07/2023 14:00;0.14013813419990706;nan;0.005441671773825648;99409.64420722926;316.647457562284;91.52495965869745;21.3908695976855;25.332046501241916;861.6486206054688;3555.30322265625;
30/07/2023 15:00;0.13446798154758074;nan;0.03050154277117073;99396.35282258065;316.7705971854074;87.7074204749226;21.210352643637613;25.384062919920215;802.9833374023438;3707.51123046875;
30/07/2023 16:00;0.15466624833933135;nan;0.05732065860679897;99394.18352174539;316.7082904868412;79.54681139140635;21.024805432593254;25.294516206465765;777.4746704101562;3799.65234375;
30/07/2023 17:00;0.170450142452768;nan;0.05256275967523147;99403.3190704205;316.4456244965303;67.7048185388064;20.92978071699494;25.156051571819983;773.7022094726562;4020.368408203125;
30/07/2023 18:00;0.15687835646346898;nan;0.037670131017398176;99423.22827260944;316.00171925065706;52.085763341614175;20.87499059853466;24.989646419947153;852.860107421875;4240.3876953125;
30/07/2023 19:00;0.1593093976709983;nan;0.00888658641979167;99448.35656682028;315.26270768829204;39.19074853914811;21.180765125608662;24.65273846744255;886.516845703125;3851.110595703125;
30/07/2023 20:00;0.18818134681883908;nan;0.0014792873700093564;99469.86232718894;314.6416624570222;26.75265422192175;21.40192495073591;24.19061979957028;808.667236328125;3761.908447265625;
30/07/2023 21:00;0.2141470876162923;nan;0.005200383420776112;99461.98698516705;314.11026542417466;25.245297440392083;21.587071713145978;24.00602596567317;842.6463012695312;3897.622802734375;
30/07/2023 22:00;0.2538213042160367;nan;0.0019380757628085976;99449.44059619815;313.66817330215383;25.570179916403262;21.72658990092215;24.062551613068766;796.8356323242188;4016.359375;
30/07/2023 23:00;0.287630588409581;nan;0.0018982850015163422;99435.69243231567;313.2577267132597;25.67585069497335;21.8852635333851;24.056531981886945;793.4208374023438;4252.81494140625;
31/07/2023 00:00;0.3180122726311487;nan;0.006494223255991897;99399.93876008065;312.866216773811;25.889627259825506;22.118533414395845;24.0498799267461;766.6810913085938;4495.4609375;
31/07/2023 01:00;0.3504459700442009;nan;0.008947232841140663;99377.9826468894;312.12292072630146;25.808757114314265;22.308504279632086;24.143352470665416;764.8517456054688;4431.7431640625;
31/07/2023 02:00;0.3866970252781068;nan;0.029287382994653992;99335.553859447;311.81866539458525;26.315335164284377;22.444649004598453;24.24288122660227;821.7301025390625;4295.24609375;
31/07/2023 03:00;0.40704204398207366;nan;0.009214183603185938;99305.04872911866;311.5739763673;26.330638349124914;22.580497453826123;24.25735670500242;936.8060913085938;4467.3857421875;
31/07/2023 04:00;0.40881036698908335;nan;0.0036803673693163465;99275.64822148618;311.3250469436294;26.00586171544367;22.7023596723976;24.105401409822107;975.40625;4180.04052734375;
31/07/2023 05:00;0.4111012972543694;nan;0.006330893542360051;99260.70020881336;311.16935462775865;26.619447485093147;22.926877854185925;24.059796468644993;937.30126953125;4202.767578125;
31/07/2023 06:00;0.4147406465670068;nan;0.011894262507386196;99237.5148689516;311.21956553656935;28.14351795953677;23.133725605527378;24.026031499222128;905.1891479492188;3986.625244140625;
31/07/2023 07:00;0.40627462898696504;nan;0.06178257244849397;99252.76233078918;311.5583809707571;34.25678502548538;23.32860193770027;23.877233328237647;1005.80859375;3779.955078125;
31/07/2023 08:00;0.3567970590397698;nan;0.03015392636751524;99225.73237687213;312.5653140863515;44.951834491080675;23.37512338093014;24.114792196736737;952.24560546875;3843.996337890625;
31/07/2023 09:00;0.30567237128308344;nan;0.06659268627848802;99194.05105126728;313.58439172138264;57.36824081954868;23.397381151283874;24.36423224912879;988.9165649414062;3847.243896484375;
31/07/2023 10:00;0.2758806282466638;nan;0.050224888099209684;99158.06102390552;314.5684122533842;65.55385305612317;23.51168893707148;24.51543974003879;997.0272216796875;4239.77001953125;
31/07/2023 11:00;0.24955656670499593;nan;0.045792871281587245;99111.70182891705;315.4853264593309;70.67530540112526;23.488432869662784;24.7472417879987;919.9631958007812;4288.3310546875;
31/07/2023 12:00;0.24825506856019097;nan;0.1528461909858823;99053.01798315092;316.3793433404738;74.40846175696993;23.467151368133432;24.972063073192075;981.63134765625;4692.2861328125;
31/07/2023 13:00;0.2651722493886192;nan;0.15662496224673966;98989.56757632489;316.90678813600323;76.25540369337055;23.52879843904641;25.172053763428316;1057.60791015625;4218.98193359375;
31/07/2023 14:00;0.25783597466950026;nan;0.5289292233397386;98938.11247119815;317.4130205426897;75.74229323657977;23.37212851394584;25.488548816314765;997.9638671875;4597.45263671875;
31/07/2023 15:00;0.3157426294063814;nan;0.3682702485373252;98894.8051015265;317.67501465406286;72.29395326031243;23.263353743862943;25.612123067374878;938.8333129882812;5129.705078125;
31/07/2023 16:00;0.38624785486651664;nan;0.6424899989425759;98847.03686635944;317.6913587860248;67.29176024316642;23.047727129220412;25.618115268579;922.7425537109375;5109.07373046875;
31/07/2023 17:00;0.43015189338443277;nan;0.7312102752913665;98803.10060843894;317.5052002937563;59.69468607702014;22.97529589783074;25.462592134123437;971.0317993164062;4991.916015625;
31/07/2023 18:00;0.4288483130384005;nan;0.36182874367113144;98760.13117439517;317.11900561635946;48.03021076129329;23.147831629326543;25.18400627312847;980.2916259765625;5029.92724609375;
31/07/2023 19:00;0.4204507566771732;nan;0.3214928106638745;98730.1245499712;316.33565215361284;34.39135606271056;23.493895754973458;25.050290106975986;850.501953125;5071.2744140625;
31/07/2023 20:00;0.48485955032401973;nan;0.36659771497339905;98725.8601310484;315.71685924617924;27.537171960666708;23.654524319182894;25.04681916125462;808.8143920898438;4708.16796875;
31/07/2023 21:00;0.5042069897287383;nan;0.29620423299266607;98703.36711549539;315.15084501345586;26.529699399758318;23.491567752328336;25.27282914943448;711.2207641601562;4617.78369140625;
31/07/2023 22:00;0.5101096168737687;nan;0.4587621157884293;98670.51155673963;314.66807085028444;26.93021108371459;23.4977951125311;25.54854020435569;739.27294921875;4912.5673828125;
